predictor,coef,std_err,p_value,ci_low,ci_high,model,n_obs,llf,llnull,pseudo_r2,llr_pvalue
ann_participation_dynamics_mean_score,-0.36189776443985644,0.7167002180411836,0.6135939650554304,-1.76660437951258,1.0428088506328672,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_participation_dynamics_sum_score,-0.10881990257640549,0.2095057307210893,0.6034730923060918,-0.5194435893444873,0.3018037841916763,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_relational_climate_count,0.05484407126731682,0.07698622726532615,0.4762244896636053,-0.09604616147833797,0.20573430401297163,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_relational_climate_mean_score,0.3936302441429955,1.096712293641464,0.7196561190070709,-1.75588635279659,2.543146841082581,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_relational_climate_sum_score,-0.08969754351206086,0.062382979283012285,0.15047581495557927,-0.21196593615507325,0.03257084913095154,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
p_interruptions_made,-0.0029742140632083554,0.0553982857166869,0.9571838745069385,-0.11155285887317438,0.10560443074675767,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
p_nods_received,-0.13452996920105134,0.0670134530406347,0.044695716947834155,-0.26587392364036155,-0.003186014761741157,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
p_overlaps,-0.01431196075346236,0.12123039357612127,0.9060233818487732,-0.251919165994276,0.22329524448735125,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
p_screenshare_segments,-0.010167005992198549,0.020210445165301582,0.6149241948872534,-0.04977875062771131,0.02944473864331421,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
p_smile_other_total,0.00016086666197230083,0.0005720873002747159,0.7785627517434162,-0.0009604038425788938,0.0012821371665234955,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
p_smile_self_total,0.00022835835016638532,0.0004992479425549809,0.6473801942880009,-0.0007501496365970989,0.0012068663369298697,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
p_speaking_duration_sec,0.00034843746269310567,0.0008172146591293173,0.6698367883787391,-0.0012532738368385332,0.0019501487622247445,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
p_turns,0.0007636284860453267,0.052453344768406414,0.9883846137882494,-0.1020430381286937,0.10357029510078436,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
