u,t,speaker,best_sim
194,1705.3333333333335,Alexandra Dickinson,0.47522205114364624
195,1717.0,Carolyn Bayer,0.4959931969642639
196,1725.0,Carolyn Bayer,0.7506399750709534
197,1733.0,Carolyn Bayer,0.26954585313796997
198,1737.5,Alexandra Dickinson,0.5309255719184875
199,1739.75,Carolyn Bayer,0.1441396176815033
200,1743.25,Carolyn Bayer,0.6530889272689819
201,1749.0,Carolyn Bayer,0.7786610126495361
202,1757.0,Carolyn Bayer,0.48273032903671265
203,1767.0,Yevgenia Kozorovitskiy,0.3924620449542999
204,1774.0,Alexandra Dickinson,0.20762118697166443
205,1780.5,Carolyn Bayer,0.5970438718795776
206,1791.5,Carolyn Bayer,0.5706064701080322
207,1811.25,Barbara Smith,0.569126546382904
208,1819.75,Barbara Smith,0.3455958366394043
209,1831.8333333333335,Barbara Smith,0.5476771593093872
210,1847.5,Barbara Smith,0.7006776332855225
211,1863.1666666666665,Barbara Smith,0.501468300819397
212,1886.5833333333335,Aniruddha Ray,0.43090468645095825
213,1893.75,Aniruddha Ray,0.32906362414360046
214,1900.9166666666665,Aniruddha Ray,0.2991093397140503
215,1908.0833333333335,Aniruddha Ray,0.34892600774765015
216,1915.25,Aniruddha Ray,0.464802086353302
217,1922.4166666666665,Aniruddha Ray,0.5499693751335144
218,1928.0,Brad Smith,0.5909296274185181
219,1932.0,Brad Smith,0.12872207164764404
220,1939.5,Barbara Smith,0.3999498188495636
221,1950.5,Barbara Smith,0.6333778500556946
222,1961.5,Barbara Smith,0.6049070358276367
223,1972.5,Barbara Smith,0.4594137370586395
224,1984.75,Barbara Smith,0.5157673358917236
225,1998.25,Barbara Smith,0.5792959332466125
226,2012.75,Barbara Smith,0.4805801510810852
227,2028.25,Barbara Smith,0.5839407444000244
228,2043.75,Barbara Smith,0.5854400396347046
229,2059.25,Barbara Smith,0.5618996024131775
230,2074.75,Barbara Smith,0.35452574491500854
231,2090.25,Barbara Smith,0.4791664481163025
232,2101.5,Brad Smith,0.10974779725074768
233,2108.0,Brad Smith,0.3645971119403839
234,2114.0,Brad Smith,0.289162814617157
235,2120.0,Brad Smith,0.3726847767829895
236,2126.0,Brad Smith,0.38220906257629395
237,2132.0,Brad Smith,0.3082301616668701
238,2140.166666666667,Sixian You,0.36887386441230774
239,2150.5,Sixian You,0.5403794050216675
240,2160.833333333333,Sixian You,0.31331270933151245
241,2169.125,Sixian You,0.5588800311088562
242,2175.375,Sixian You,0.5553956627845764
243,2181.625,Sixian You,0.6118850708007812
244,2187.875,Sixian You,0.27218061685562134
245,2193.875,Sixian You,0.25472700595855713
246,2199.625,Sixian You,0.29973405599594116
247,2205.375,Sixian You,0.4578362703323364
248,2211.125,Sixian You,0.47301894426345825
249,2215.75,Barbara Smith,0.41120415925979614
250,2219.25,Barbara Smith,0.32630571722984314
251,2224.5,Barbara Smith,0.2451171576976776
252,2228.833333333333,Yevgenia Kozorovitskiy,0.3332434892654419
253,2232.5,Yevgenia Kozorovitskiy,0.43331870436668396
254,2236.166666666667,Yevgenia Kozorovitskiy,0.32044270634651184
255,2238.9,Barbara Smith,0.32306960225105286
256,2242.5,Barbara Smith,0.6515746116638184
257,2244.3,Barbara Smith,0.2768453359603882
258,2246.1,Barbara Smith,0.35394299030303955
259,2251.5,Brad Smith,0.28890901803970337
260,2260.5,Brad Smith,0.43972206115722656
261,2269.5,Brad Smith,0.21987125277519226
262,2277.9444444444443,Alexandra Dickinson,0.6772102117538452
263,2283.833333333333,Alexandra Dickinson,0.5120149850845337
264,2289.722222222222,Alexandra Dickinson,0.5606077909469604
265,2295.6111111111113,Alexandra Dickinson,0.5524649620056152
266,2301.5,Alexandra Dickinson,0.3283151388168335
267,2307.3888888888887,Alexandra Dickinson,0.36757510900497437
268,2313.277777777778,Alexandra Dickinson,0.5287162065505981
269,2319.166666666667,Alexandra Dickinson,0.47210341691970825
270,2325.0555555555557,Alexandra Dickinson,0.41673147678375244
271,2337.5,Brad Smith,0.47024261951446533
272,2351.0,Alexandra Dickinson,0.5802568197250366
273,2359.0,Alexandra Dickinson,0.18133428692817688
274,2365.166666666667,Brad Smith,0.34248775243759155
275,2369.5,Brad Smith,0.45126569271087646
276,2373.833333333333,Brad Smith,0.2305913269519806
277,2380.75,Brad Smith,0.6208279132843018
278,2390.25,Brad Smith,0.34144824743270874
279,2404.0,Brad Smith,0.5699145793914795
280,2422.0,Brad Smith,0.3906170725822449
281,2438.75,Luke Mortensen,0.5403405427932739
282,2454.25,Luke Mortensen,0.3668903112411499
283,2462.5,Luke Mortensen,0.2350732535123825
284,2464.0,Luke Mortensen,0.3868926763534546
285,2468.5,Luke Mortensen,0.24609413743019104
286,2484.0,Brad Smith,0.5890892744064331
287,2489.0,Brad Smith,0.5978151559829712
288,2498.0,Brad Smith,0.25006604194641113
289,2505.0,Carolyn Bayer,0.556612491607666
290,2510.25,Carolyn Bayer,0.49503037333488464
291,2514.75,Carolyn Bayer,0.36097532510757446
292,2519.75,Carolyn Bayer,0.4840615391731262
293,2529.5,Brad Smith,0.6496562361717224
294,2534.75,Brad Smith,0.5004463791847229
295,2542.25,Brad Smith,0.4954412579536438
296,2552.0,Aniruddha Ray,0.5447766184806824
297,2559.25,Aniruddha Ray,0.2502681016921997
298,2563.75,Aniruddha Ray,0.4662303626537323
299,2568.25,Aniruddha Ray,0.2714994251728058
300,2572.75,Aniruddha Ray,0.37180590629577637
301,2582.666666666667,Sixian You,0.48157286643981934
302,2592.0,Sixian You,0.3648538589477539
303,2601.333333333333,Sixian You,0.3842455744743347
304,2610.5,Brad Smith,0.2566382586956024
305,2616.25,Brad Smith,0.556808352470398
306,2624.75,Brad Smith,0.4434068202972412
307,2631.0,Carolyn Bayer,0.5320214033126831
308,2634.5,Barbara Smith,0.8533292412757874
309,2638.5,Carolyn Bayer,0.2667246460914612
310,2643.5,Carolyn Bayer,0.673302173614502
311,2647.0,Carolyn Bayer,0.385870099067688
312,2649.5,Carolyn Bayer,0.6171904802322388
313,2651.5,Carolyn Bayer,0.3080863356590271
314,2652.5,Luke Mortensen,0.7860990762710571
315,2655.5,Brad Smith,0.5671152472496033
316,2661.0,Carolyn Bayer,0.604556143283844
317,2663.0,Carolyn Bayer,0.8822043538093567
318,2665.0,Carolyn Bayer,0.27454596757888794
319,2672.0,Brad Smith,0.6701164245605469
320,2679.5,Sixian You,0.3478314280509949
321,2684.0,Carolyn Bayer,0.4609869122505188
322,2691.375,Brad Smith,0.41396257281303406
323,2698.125,Brad Smith,0.45382964611053467
324,2704.875,Brad Smith,0.3741684556007385
325,2711.625,Brad Smith,0.31303471326828003
326,2718.5,Sixian You,0.4720572531223297
327,2731.5,Brad Smith,0.2528735101222992
328,2736.0,Sixian You,0.1556117981672287
329,2748.5,Brad Smith,0.4402941167354584
330,2758.0,Aniruddha Ray,0.29022523760795593
331,2764.0,Aniruddha Ray,0.706920862197876
332,2770.5,Brad Smith,0.4551665782928467
333,2776.0,Brad Smith,0.31505146622657776
334,2781.0,Brad Smith,0.20217040181159973
335,2783.75,Andrew Feig,0.39480283856391907
336,2785.25,Andrew Feig,0.559472918510437
337,2790.0,Brad Smith,0.2668808698654175
338,2794.0,Brad Smith,0.3314669132232666
339,2797.5,Aniruddha Ray,0.458026260137558
340,2800.0,Barbara Smith,0.6769798994064331
341,2802.0,Barbara Smith,0.2474164068698883
342,2807.0,Barbara Smith,0.20448893308639526
343,2810.0,Aniruddha Ray,0.6431702971458435
344,2817.166666666667,Brad Smith,0.2850562334060669
345,2819.5,Brad Smith,0.40400221943855286
346,2824.0,Aniruddha Ray,0.3389482796192169
347,2832.5,Brad Smith,0.21490664780139923
348,2845.5,Brad Smith,0.35124287009239197
349,2858.5,Brad Smith,0.3543955087661743
350,2866.5,Aniruddha Ray,0.9081330299377441
351,2869.5,Brad Smith,0.48213958740234375
352,2879.5,Aniruddha Ray,0.4234444499015808
353,2889.75,Brad Smith,0.5025619864463806
354,2895.25,Brad Smith,0.5972998738288879
355,2905.0,Aniruddha Ray,0.5876282453536987
356,2917.0,Aniruddha Ray,0.6182966828346252
357,2929.0,Aniruddha Ray,0.5133935213088989
358,2938.5,Yevgenia Kozorovitskiy,0.36387720704078674
359,2943.5,Yevgenia Kozorovitskiy,0.4386975169181824
360,2948.5,Yevgenia Kozorovitskiy,0.4640084207057953
361,2958.0,Brad Smith,0.7145583629608154
362,2965.5,Brad Smith,0.5963592529296875
363,2968.5,Brad Smith,0.7049314975738525
364,2971.5,Brad Smith,0.5107311010360718
365,2974.5,Brad Smith,0.2802022099494934
366,2977.5,Brad Smith,0.19904804229736328
367,2982.166666666667,Carolyn Bayer,0.7513658404350281
368,2988.5,Carolyn Bayer,0.5858946442604065
369,2994.833333333333,Carolyn Bayer,0.6252614259719849
370,3002.5,Aniruddha Ray,0.5922868847846985
371,3006.5,Carolyn Bayer,0.21626397967338562
372,3010.5,Aniruddha Ray,0.3836786150932312
373,3013.5,Aniruddha Ray,0.5494001507759094
374,3018.5,Aniruddha Ray,0.7278200387954712
375,3023.0,Aniruddha Ray,0.4569143056869507
376,3029.5,Aniruddha Ray,0.35553526878356934
377,3032.5,Brad Smith,0.3030727803707123
378,3038.5,Aniruddha Ray,0.2446199655532837
379,3056.0,Carolyn Bayer,0.2534227967262268
380,3068.5,Brad Smith,0.491462767124176
381,3073.5,Brad Smith,0.4975442588329315
382,3078.5,Brad Smith,0.2845941185951233
383,3106.0,Yevgenia Kozorovitskiy,0.24441605806350708
384,3112.0,Yevgenia Kozorovitskiy,0.2779284715652466
